Sensor no,Location Details,,Latitude,Longitude,,,
1,Andheri Subway (bandh),,19.12416667,72.84694444,,,
2,Andheri Subway Pole (Alternate location),,19.12416867,72.84685544,,,
3,Gandhi Market below the King Circle bridge,,19.03127051,72.85837318,,,
4,Hindmata (Pole 1),,19.00870649,72.84182174,,,
5,Khar Subway,,19.07529221,72.84067776,,,
6,Khar subway (alternate location pole),,19.07525531,72.84044246,,,
7,Mumbai university,,19.07351796,72.84974291,,,
8,Nair Hospital(Outside HDFC bank),,18.97377629,72.82290942,,,
9,Nair hospital (alternate location street pole),,18.9740177,72.82299581,,,
10,Nana chowk (Shri Krishna Hotel),,18.96205825,72.81331529,,,
11,16th Postal colony road,,19.06087774,72.89412691,,,
12,"BMC’s 8 MLD plant behind L&T, Filterpada",,19.13038919,72.89581639,,,
